County,Precinct,Precinct Number
Manhattan,1st Precinct,1
Manhattan,5th Precinct,5
Manhattan,6th Precinct,6
Manhattan,7th Precinct,7
Manhattan,9th Precinct,9
Manhattan,10th Precinct,10
Manhattan,13th Precinct,13
Manhattan,17th Precinct,17
Manhattan,19th Precinct,19
Manhattan,20th Precinct,20
Manhattan,23rd Precinct,23
Manhattan,24th Precinct,24
Manhattan,25th Precinct,25
Manhattan,26th Precinct,26
Manhattan,28th Precinct,28
Manhattan,30th Precinct,30
Manhattan,32nd Precinct,32
Manhattan,33rd Precinct,33
Manhattan,34th Precinct,34
Bronx,40th Precinct,40
Bronx,41st Precinct,41
Bronx,42nd Precinct,42
Bronx,43rd Precinct,43
Bronx,44th Precinct,44
Bronx,45th Precinct,45
Bronx,46th Precinct,46
Bronx,47th Precinct,47
Bronx,48th Precinct,48
Bronx,49th Precinct,49
Bronx,50th Precinct,50
Bronx,52nd Precinct,52
Brooklyn,60th Precinct,60
Brooklyn,61st Precinct,61
Brooklyn,62nd Precinct,62
Brooklyn,63rd Precinct,63
Brooklyn,66th Precinct,66
Brooklyn,67th Precinct,67
Brooklyn,68th Precinct,68
Brooklyn,69th Precinct,69
Brooklyn,70th Precinct,70
Brooklyn,71st Precinct,71
Brooklyn,72nd Precinct,72
Brooklyn,73rd Precinct,73
Brooklyn,75th Precinct,75
Brooklyn,76th Precinct,76
Brooklyn,77th Precinct,77
Brooklyn,78th Precinct,78
Brooklyn,79th Precinct,79
Brooklyn,81st Precinct,81
Brooklyn,83rd Precinct,83
Brooklyn,84th Precinct,84
Brooklyn,88th Precinct,88
Brooklyn,90th Precinct,90
Brooklyn,94th Precinct,94
Queens,100th Precinct,100
Queens,101st Precinct,101
Queens,102nd Precinct,102
Queens,103rd Precinct,103
Queens,104th Precinct,104
Queens,105th Precinct,105
Queens,106th Precinct,106
Queens,107th Precinct,107
Queens,108th Precinct,108
Queens,109th Precinct,109
Queens,110th Precinct,110
Queens,111th Precinct,111
Queens,112th Precinct,112
Queens,113th Precinct,113
Queens,114th Precinct,114
Queens,115th Precinct,115
Staten Island,120th Precinct,120
Staten Island,121st Precinct,121
Staten Island,122nd Precinct,122
Staten Island,123rd Precinct,123
